id,artist_name,sc_alias
969,Frankie Francis,frankiefrancis
970,Simbad,simbad
971,Daniel Jacques,No Soundcloud Found
972,Richard Sen,senrichard
973,Primal Scream,primalscream
974,Ortella,or-tella
975,Two Dogs In A House,catzndogz
976,Pepe Bradock,No Soundcloud Found
977,Sensational,sensational-1
978,Walt J,No Soundcloud Found
979,Green Velvet,green-velvet-1
980,Kylie Minogue,kylieminogue
981,IMYRMiND,imyrmind
982,HEALTH,healthnoise
983,Moon B,moonbofficial
984,Shit Robot,shit-robot
985,J-Zbel,No Soundcloud Found
986,Ron Morelli,l-i-e-s
987,Steve O'Sullivan,stephenos1
988,Kashawar,kashawar_music
989,Titonton DuvantÃ©,tduvante
990,Eric Cloutier,cloutier
991,Psychemagik,psychemagik
992,Africaine 808,africaine-808
993,DJ Boom,djboom1
994,Cleo & Patra,No Soundcloud Found
995,LNTG,late-nite-tuff-guy
996,Maceo Plex,maceoplex
997,The Knife,theknife
998,Timeline,No Soundcloud Found
999,TRP,trp111
1000,Diego Krause,diegokrause
1001,Vera,veragoesdeep
1002,Benedek,benedek_music
1003,Damiano Von Erckert,damianovonerckert
1004,Matthias Reiling,No Soundcloud Found
1005,Soundstore,No Soundcloud Found
1006,Fantastic Man,fantastic-man
1007,Alden Tyrell,aldentyrell
1008,Mike Dunn,therealmikedunn
1009,Dresvn,No Soundcloud Found
1010,Murphy Jax,murphyjax
1011,Trusta,ttrstt
1012,Chunky,chunkydip
1013,The Mystic Jungle Tribe,No Soundcloud Found
1014,45 ACP,d-k-music
1015,Elgato,No Soundcloud Found
1016,Mike Slott,mikeslott
1017,Baba Stiltz,babastiltz
1018,Tzusing,tzusing
1019,Untold,untold
1020,Brame & Hamo,No Soundcloud Found
1021,Wax,nightmares-on-wax
1022,Modeselektor,modeselektor
1023,GE-OLOGY,geology365
1024,Mark De Clive-Lowe,mashibeats
1025,PJOTR,pjotr-1
1026,No Pain,no-pain-in-pop
1027,Heaven & Earth,No Soundcloud Found
1028,Emeralds,emerald-3
1029,Chez-N Trent,x
1030,Kenny Dope,kenny-dope
1031,The Bucketheads,No Soundcloud Found
1032,Afrikan Sciences,afrikan-sciences
1033,Moi,toroymoi
1034,Simian Mobile Disco,simianmobiledisco
1035,Dana Ruh,danaruh
1036,Mr. Tophat,mrtophat
1037,Art Alfie,art-alfie
1038,Japan Blues,No Soundcloud Found
1039,Miguel Campbell,miguelcampbellofficial
1040,Garnier,platform
1041,Entro Senestre,entrosenestre
1042,2 Bit Crew,twobitcrew
1043,Deep & Disco,No Soundcloud Found
1044,Traumer,traumer
1045,KornÃ©l KovÃ¡cs,kornel
1046,Bob Moses,the-bob-moses
1047,Romanthony,No Soundcloud Found
1048,Le Loup,leloupmusic
1049,Seuil,seuil
1050,Fudge Fingas,No Soundcloud Found
1051,Big Strick,bigstrick
1052,Horseshoe,No Soundcloud Found
1053,Mad Rey,madrey
1054,Kinetic Electronix,No Soundcloud Found
1055,Photek,photek
1056,Yello,yellow-days
1057,M Gun,mgun
1058,LindstrÃ¸m,feedelity
1059,Ion Ludwig,ion-ludwig
1060,M.Rav,patriciaaa
1061,Don Papa,don-pappa
1062,DJ Harlow,No Soundcloud Found
1063,Tito Wun,No Soundcloud Found
1064,Riccardo,riccardo_buccirossi
1065,Trevino,marcusintalex
1066,David Lynch,davidlynch78
1067,Paradise's Deep Groove,No Soundcloud Found
1068,Scott Grooves,studio-of-scott-grooves
1069,House Of Jezebel,No Soundcloud Found
1070,Ewan Jansen,redemberrecords
1071,Eduardo De La Calle,eduardodelacalle
1072,Cosmin TRG,trg
1073,Thomas Bangalter,thomasbangalter
1074,Kowton,kowton
1075,Young Marco,youngmarco
1076,Asusu,asusu
1077,Sophie,msmsmsm
1078,Al Dobson Jr.,al-dobson-jr
1079,Braiden,braiden
1080,2 AM FM,No Soundcloud Found
1081,Willow,dhatu
1082,100 Hz,No Soundcloud Found
1083,M+M,mm-ms
1084,Cee Lo Green,ceelogreen
1085,E-GZR,No Soundcloud Found
1086,TX Connect,txconnect
1087,Speculator,No Soundcloud Found
1088,Jouem,No Soundcloud Found
1089,Steve Poindexter,steve-poindexter
1090,Royal Crown Of Sweden,royal_crown_of_sweden
1091,N.Y. House'n Authority,No Soundcloud Found
1092,Tim Mcallister,tim-granbacka
1093,Cultural Vibe,midi-culture
1094,A Made Up Sound,2562amadeupsound
1095,Dâ€¢Kâ€¢,d-k-music
1096,YYY,yyyyyyyyyyyy
1097,Stereociti,stereociti
1098,Mutado Pintado,mutado-pintado
1099,Vinalog,No Soundcloud Found
1100,Dolo Percussion,No Soundcloud Found
1101,Steaward,stewardmusic
1102,Discreet Unit,No Soundcloud Found
1103,Yolanda Be Cool,yolandabecool
1104,DCup,dcup
1105,Vangelis Katsoulis,No Soundcloud Found
1106,Steve Murphy,stevemurphyridesagain
1107,S.A.M.,sam-sure
